,emotion_id,emotion,emotion_en,talkbacks
1878,0,"ציפייה, הבעת עניין",expectation, כל הכבוד! לא לקחת סיכונים...  
1881,0,"ציפייה, הבעת עניין",expectation, חברה הלכה לעשות פן אצל ספר. אמה חולה קשה בסכרת והן 
1882,3,"חשש, פחד",fear," להשאירם שם שלא ידביקו אותנו.
חבל שיש קומץ אגואיסט ואנוכי שמשום מה תמיד לקומץ הזה יש בעיות הכל קשה אבל זמן לתגובות מרושעות שלא מועילות ופגעות בחברה יש מלא זמן...."
1885,7,"זעם, כעס",anger," שנאה, שנאה, שנאה, שנאה "
1886,0,"ציפייה, הבעת עניין",expectation, לא כל ביקורת היא הסתה ויש לא מעט ביקורת מוצדקת. 
1887,6,"סלידה, אי אמון",disgust," תפסיקו למחזר כתבות ותתחילו להיות עיתונאים.
ולא בחינות הנדסאים"
1888,6,"סלידה, אי אמון",disgust," בסין עוד לא חזרו ללימודם אז פה יחזרו. גאוני.
40 תלמידים בכיתה, תרבות של חוסר במתן מרחב אישי, תרבות של אי כיבוד המורים. "
1889,6,"סלידה, אי אמון",disgust," אז מה שאתה אומר זה שאתה מעדיף עכשיו לגנוב מהדיור בשביל הסקטו.
שלך, לדאוג שמחירי הדיור ישארו הזויים כדאי שהבוס ביבי לא יפסיד כסף על כל הנדלן שבבעלותו ומסתבר שיש הרבה."
1890,6,"סלידה, אי אמון",disgust, מה פתוח? אנשים יושבים זה מול זה ועוברים אחד ליד השני ללא מסי . מסע ההפחדה של משרד הבריאות גמר את המשק פה כמעט מיליון מובטלים ומעל מאה אלף עסקים במשבר רציני.... שיהנו !!!! לא מספרים לציבור את האמת שמספר הבדיקות זינק פי 5 ולכן מספר הנדבקים לא השתנה ביחס למספר הבדיקות !!!! ביזיון של משרד הבריאות הרסו את הכלכלה !!!!!
1893,7,"זעם, כעס",anger," ביבי ייבש את מע הבריאות. המתים שיבואו רשומים על שמו.
מטוס יש,      מנשמים אין,  מטושים חסר מיטות אשפוז חסר ועוד ועוד.תמשיכו להצביע בשביל  הכישלון הזה הוא שחקן מעולה יודע איך לעבוד עליכם "
1894,7,"זעם, כעס",anger," הקורונה בסך הכל נתנה לאנשים זמן לחשוב מי הם היהודים.
איך הם פועלים, מה הם רוצים (כסף), מה דעתם, על מה הם חושבים (כסף), מה מזיז להם ומה לא, עם מי הם מדברים, מה מניע אותם (כסף), איזה מאכלים הם אוכלים ויחסם לשאר האנשים."
1895,3,"חשש, פחד",fear," חייבים סגר על הדתיים. בגלל פוליטיקה ימותו חילונים.
למה נתניהו האפס הזה נכנע לכל גחמה של מושחתים כמוהו דרעי ליצמן ליאון. האם חיי אדם הם מסחרה פוליטית? איפה הגבול של ניהול המזעזע והכושל של המשבר? כל הזמן מזגזגים ושום דבר לא  נעשה בזמן. אתם רק מטייחים ומשקרים. זוועה."
1897,6,"סלידה, אי אמון",disgust," אבל לבני הדודים יש אישור יציאה ונסיעה לכל רחבי הארץ- איפה הה.
כל הרחוב יורד למטה להצטרף לחגיגה, כולם צמודים ובלי מסיכות"
1898,0,"ציפייה, הבעת עניין",expectation,"ישיבת הממשלה הראשונה של הממשלה ה 35. אלכוג׳ל ואולם רחב ידיים (כי הם הרבה). ״ההערכה הריאלית היא שלא יהיה חיסון בשנה הקרובה. ההחלטות שלנו הן על קבינט קורונה ולאחר מכן, תקציב. הזרמת הכספים כדי להניע את גלגלי הכלכלה״ pic.twitter.com/dkcRihKphO"
1903,7,"זעם, כעס",anger," די לווידאו האוטומטי !!!.
רוקחים ללא מצפון מבקשים סכומי ענק לחבילת 50, ועכשיו מתברר שמסכות הבד לא יעילות לקורונה. "
1904,0,"ציפייה, הבעת עניין",expectation, השוטרים חייבים לפתוח באש כנגד כוחות הרשע ממאה שערים 
1906,7,"זעם, כעס",anger," אבל ביבי אומר שהכול בסדר ואנחנו מובילים בעולם אז אל תבלבל במ.
בתי החולים ריקים בקושי יש תאונות דרכים אנשים נמנעים מלהגיע וכבר שומעים רופאים עייפים שאפילו חולה קורונה אחד לא ראו"
1907,6,"סלידה, אי אמון",disgust," זה שהציבור האמריקאי טיפש זה לא מפתיע, אבל הזילות בחיי אדם... "
1908,7,"זעם, כעס",anger," לכל הרוחות, למה אנשים נדבקים?! כי הם עדיין לא זהירים!.
תציגו מצב עם נפטרים. בתיאוריה יכול להיות מצב 0 חולים אם כולם נפטרו."
1909,5,"עצב, צער",sadness," מפונקים.
בתור אמא לחייל קרבי שנמצא בשטח וסוגר כמעט חודש ללא צפי ליציאה יכולה להגיד שהמצב חמור. החיילים רעבים כי האוכל מוקצב. אין להם כביסות ואין אפשרות להביא או לשלוח כלום"
1912,6,"סלידה, אי אמון",disgust," בסוריה עד עכשיו מתו מעל חצי מיליון , קורונה לא מעניינת אותם.
בטוח יש הרבה מקרים אבל מה אכפת לו שימשיכו למות...בעולם לא בודקים אפילו מה שקורה שם כבר שנים....רצח המוני...שואה נוספת...הוא תמיד שורד כמו חתול ערמומי...חבר טוב של פוטין....ומה קורה ברוסיה...מישהו יודע ?"
1913,5,"עצב, צער",sadness," בריאות!!!!!.
העולם אינו הפקרות !!!!"
1914,2,הבעת אמון,trust," צודק בהחלט.
רענן, אתה צודק בהחלט. מבטא בצורה מצוינת את מה שרבים מהסביבה הקרובה שלי מרגישים. אני לא מצליח להבין כמה אטומים יכולים להיות אנשים וההסבר שאתה מציע אולי נכון. פשוט בושה וחרפה - תחושות שכנראה לא קיימות בישראל הראשונה."
1915,6,"סלידה, אי אמון",disgust," תיבדקו כמה דירות יש לתושבי אילת ב ת-א ובכל הארץ.שהם משכיר.
. די כבר עם הקורונה (שפעת) רק בני מאה עם מחלות רקע סרטן וכו לרוב מתים מזה.אם העסקים יפשטו רגל אנשים ימותו מרעב , בטוח לא מקורונה !!!"
1917,0,"ציפייה, הבעת עניין",expectation," הבדיקה  נימצאה שלילית.
היא לא נידבקה בנתניהו..יש לה הגנה.
חייבים לפרסם את מכלול החקירה.
חייבים להעניש את ליצמן.
חייבים לנהוג במקרה כמו בכל מקרה אחר אחרת ביבי מאבד את הזכות המוסרית והאחרת להורות לנו לחייב אותנו וכו"
1919,0,"ציפייה, הבעת עניין",expectation," לשים את היראלים בבידוד לשבועיים שיחזרו.
אני לא מבינה למה משרד החוץ לא שולח סירה לחלץ את הישראלים "
1922,4,"הפתעה, תדהמה",surprise," מאד מסכים לתוכן הכתבה ואני חילוני חרד.
לא משתייך לצבור הדתי, אבל מאז תקופת הבחירות אני המום מהתנועה האנטישמית הפורחת בישראל (ביברמן ולפיד תודה רבה!) וסוף כל סוף כתבה עניינית בנושא "
1923,3,"חשש, פחד",fear," It is OK to open IKEA.....
שניהם לא היו ראויים בימים רגילים ובטח לא ראויים היום. כולם יודעים את זה, אבל הסכם קואליציוני חשוב יותר מהבריאות ומהחינוך שלנו. יותר מהכלכלה שלנו ויותר מהעתיד שלנו. זהו. "
1927,6,"סלידה, אי אמון",disgust," צריך לתבוע אותם! אי אפשר לקחת כסף על עבודה שלא עשיתם.
הערייה לא מחזירה ארנונה ששולמה מראש ולכן כל המסחר בחיה מושבת."
1929,0,"ציפייה, הבעת עניין",expectation," אורחות חיים.
מחקר בסין בתרופה יפנית הצליח להקטין משמעותית את התמותה. 
מחקר באירופה עם תרופה נוספת הראה גם שיפור ביחס לקבוצת ביקורת"
1931,0,"ציפייה, הבעת עניין",expectation," אולי תבינו שחתונה לא חייבת להיות 300 איש , רק הכי קרובים 20 .
תפסיקו להוציא עשרות אלפי שקלים"
1933,6,"סלידה, אי אמון",disgust," מגפה.
זה עובד קצת אחרת , בגלל שאין הכרעה בקלפי ביבי ממשיך להיות ראש ממשלה מסבב לסבב , עד שבית המישפט ינקה אותו מהחים הפולטים , שלוש מערכות בחירות בשנה לאורך שלוש שנים זה תשע סבבים נוספים עד שביבי יפנה את מקומו "
1934,6,"סלידה, אי אמון",disgust, ושפעת ושאר מחלות זה לא מעביר? 
1935,5,"עצב, צער",sadness," אוי ואבוי....פחות אשפה מסין תגיע לארץ....פשוט נורא......
אחרי שחבילות תקועות כבר 3 חודשים בדואר אולי עכשיו יסגרו פערי החלוקה"
1938,6,"סלידה, אי אמון",disgust," מותר להתפלל בלי מסכה? ולרוץ ולהתפלל? ולשחות בים ולהתפלל?.
תתעוררו לפני שיהיה מאוחר ... ועבודה מותר ללא מסיכה שנוסעים ברכב  ? למה אין שוטרים ברחובות ?תשלחו סמויים שיפטרלו מי שאין מסיכה לחלק קנסות. "
1939,2,הבעת אמון,trust," תפרסמו! ליצמן ""החרדי"" שר הבריאות הטוב ביותר מקום המדינה!.
ליצמן קיבל משרד חולה..ומחזיר אותו כך בגלל הקורונה..דווקא עשה הרבה רפורמות מצוינות בבריאות.וסימון המוצרים גם היה הצלחה מסחררת מול הלוביסיסטים שנילחם..."
1940,7,"זעם, כעס",anger," מגיע למי שמתייחס ככה לבעלי חיים.
אנשים רעים.סוחרים בבעלי חיים.
הורגים אותם מנצלים ואוכלים אותם. זאת הנקמה של החיות."
1941,6,"סלידה, אי אמון",disgust," שאמה זבל מבחיל. הכל יחצ""נות..
אכזבה מאחת השכונות הצפוניות ברמת גן.נא לטפל בחינוך ובלכלוך."
1943,4,"הפתעה, תדהמה",surprise, הם לא יודעים שאסור להתקהל? 
1945,6,"סלידה, אי אמון",disgust," להתיעץ עם הרב קנייבסקי מבני ברק מה לעשות ?.
הרב קנייבסקי התיר להתכנס כדי ללמוד בניגוד להנחיות משרד הבריאות, קנייבסקי בודאי מבין בנושא קורונה יותר מאשר המומחים ממשרד הבריאות."
1947,0,"ציפייה, הבעת עניין",expectation," אוסטריה התעלמה בשיא עונת הסקי מהדבקות בתחומה.
חדשות משמחות, כיף לראות שיש אופטימיות זהירה בדרך לחזרה לשיגרה הדרגתית. התמונות ששמתם הם אינם מלב העיר וינה אלא מפארק שעשועים בפאתי העיר, לכן זה שומם כי הפארק סגור לגמרי... "
1949,3,"חשש, פחד",fear," ויותר טוב אצלנו עובדה.
בסטף כל המערכת הרפואית תכנס להסגר. גם מי שמסתובב עם מיגון, מסתובב עם מיגון שאינו מגן בצורה יעילה נגד הוירוס, כמו מסכות מנתחים שלא מסננות שום דבר."
1950,4,"הפתעה, תדהמה",surprise, למה לא הוכנסו לבידוד מהרגע שחזרו ?!?!?! 
1953,3,"חשש, פחד",fear," רק בית חולים.
לאמהות שרוצות ללדת לא בבית חולים אך גרות רחוק מידי מבית חולים בשביל לידת בית.זה כל כך הדבר ההגיוני לעשות!!!"
1956,6,"סלידה, אי אמון",disgust," אני מתפלא על שטייניץ. אסור לאפשר מעקב ולחייב אפליקציה.
והפעם זה יגיע מכל המגזרים בחברה.הממשלה שלנו היא בדיחה גרועה וזה רלוונטי לכל 120 חברי הכנסת ללא הבדל דת, גזע ומין. ראינו מה קורה במקומות אחרים בעולם כשלאזרחים כבר אין תקווה ואין להם מה להפסיד....   "
1958,6,"סלידה, אי אמון",disgust," קחו איתכם גם את התביעות היצוגיות של עוכרי הדין!.
הסינים אשמים בהדבקת העולם וישראל,במוות של עשרות אלפי אנשים ובאבדן מיליוני מקומות עבודה. ועכשיו גם ירויחו עלינו כסף, ואנחנו עוד נודה להם בסופו של דבר."
1959,3,"חשש, פחד",fear," לכן צריך אכיפה ולא בקשות.
כדי מאד שתשמעו לרופא הוירוס הזה הוא במיוחד לאנשים לא ממושמעים ו חסרי הגינה ראו הוזהרתם שבו בבית אחרת תחוברו למכונת הנשמה אם יהיה מספיק כאלו ו לצערי לשם אנו הולכים בביטחה "
1960,0,"ציפייה, הבעת עניין",expectation," וגם הרוב עצות יעילות וטובות, מנסיון "
1963,0,"ציפייה, הבעת עניין",expectation," ביבי המלך.ראש הממשלה הטוב בהיסטוריה.
יש שיפור במצב.נמשיך ונשמור על ההנחיות וננצח במלחמה נגד הקורונה.נרוויח זמן ובינתיים יפתחו חיסונים ותרופות. "
1966,7,"זעם, כעס",anger," זה למה צריך לחשוב מראש ולחסוך תמיד סכום מסויים של כסף בצד.
עכשיו תתלוננו אצל ביבי שאמר שהחיים טובים בזכותו וטסתם לחול קניתם מכוניות ולקחתם הלואות בלי לחשוב על העתיד."
1967,3,"חשש, פחד",fear," טראמפ ילדותי.
אנשים מטילים בחוץ ללא מסכות וללא ציוד מגן לא שוטפים ידים ומתקהלים כולם חושבים שזה לא יגיע אליהם , אנשים הזוים "
1971,5,"עצב, צער",sadness," הלב נשבר. לתבוע אותם עד העצם. ואיפה משרד הביטחון?.
מאד עצוב במיוחד שהוא עבר את השואה לשמוע שאף אחד לא אחז לו את היד וניחם אותו תקופה מטורפת לא מאחלת לאף אחד שלא תדעו עוד צער"
1972,7,"זעם, כעס",anger, למה לא מענישים אותם כי לא היו בבידוד????  
1973,1,"שמחה, התלהבות",happy," מקסים!.
כתבת יפה ונכון כל כך."
1974,0,"ציפייה, הבעת עניין",expectation," מלאכים!.
לפני שהמגפה תתפרץ, כי זאת התרופה היחידה כרגע. מזל שיש אותה.. למרות שזאת בכלל תרופה וטרינרית ללא אישור FDA ואי אפשר לדעת מהן תופעות הלוואי."
1977,5,"עצב, צער",sadness," שב אתה בבית, בטלן.
השרים מתחרים בינם לבין עצמם על הכנעת משרד הבריאות. מי שלוחץ מקבל, ללא תכנון וללא מחשבה ארוכת טווח. ההסברה נכשלה ואותה מחליפות הדלפות ודעות של כל מיני ""מומחים"". ההנחיות מבולבלות ומבלבלות, והציבור הפסיק לקיים אתן. מדאיג מאוד."
1980,6,"סלידה, אי אמון",disgust, התחיל בגלל סחר לא חוקי בבעלי חיים 
1981,6,"סלידה, אי אמון",disgust," טעויות.
יום רבעי שעבר עמדתי  בתור בבית מרקחת לתרופות, סדרנית תרופות בזמן הסידור עמדה והיתעתשה ללא הפסק ונאמר לה על יד הקהל לעזוב , המשיכה בשלה ולא היזיז לה מכלום. "
1983,6,"סלידה, אי אמון",disgust," שהרבנים והאדמו""רים יעשו את ההדלקה בחצרותיהם..
העובדות הן :לנשק מזוזות זה מסוכןלהתפלל במניין זה מסוכןלהתפלל בבית הכנסת זה מסוכןלהשתמש בטלפון כשר זה מסוכן המסקנה : הדת והאמונה באלוהים מסוכנת לבריאות ולמדינת ישראל "
1984,6,"סלידה, אי אמון",disgust," יופי לך.
שכל אחד יקח אחריות אישית. ואם יחוקק חוק שיקבע שאדם שזקוק למכונת הנשמה לפי זמן שימוש בתשלום יומי כן שהןא לא מקבל שירות אין ספק שיהיה  פחות מונשמים"
1986,6,"סלידה, אי אמון",disgust," פדופילים וסוטים מנצלים את המצב.
אם לא ינתנו עונשים חמורים המעשים לא יפסקו. לעצור ולהביא לדין."
1987,5,"עצב, צער",sadness,הממשלה שנים לקחה את.עודפי הגביהבטוח לאומי מזמן לא היה בטוח  כל עודפי הגביה הממשלה לקחה מהביטוח הלאומי ואלוהים יודע מה עשו בכסף הכל הלך.להסכמים קואלציונים שהממשלה תחזירי מה שלקחה  ותודה לליכוד ששנים  הרס את מעמד הביניים  הגיע הרגע לשנות תחזירו מה שלקחתם  לא הבצעתי לביבי רק בגלל הקפיטליסם החזירי שלו הוא 10 שנים בשלטון הרס את מעמד הביניים  העיקר הם מליונרים כל השרים שם עשירים בנט  ברקת ביבי מירי רגב  ארדן  כולם עשירים
1989,5,"עצב, צער",sadness," מצחיק.
במקום לפרגן ללקוחות אתם קונסים אותם .פנינו לחברה לשנות יעד ולא לבטל אז הכנס כולל התוספת יותר יקר מכרטיס רגיל וחבל ..... אתם גורמים לחלק מהביטולים."
1991,7,"זעם, כעס",anger, פשע שנאה. מקווה שיקבלו את העונש המירבי. 
1992,6,"סלידה, אי אמון",disgust," פסימיסט.
לא יודעת למה, אבל יש לו פרצוף רע. לא מחייך,  לא עונה כנדרש לשאלות, רק רוע פולט הפה שלו. להחליפו לאלתר, קצת אופטימיות לא תסיק, גם ככה המדינה בדיכאון. הלוואי וכמה שיותר מהר."
1993,6,"סלידה, אי אמון",disgust," פורר תפטרו את ליברמן ואז תוכלו לדבר.
חבל לכולם על הזמן הליכוד מתחזק בסקרים כולם מפחידים מסיבי שהוא יבחר עוד פעם והם מנסים להפיל אותו בדרכים לא חוקיות. מי שקובע זה העם והוא בוחר. גנץ תסתכל על הסקרים בלי הרשימה המשותפת יהיה קשה להרכיב קואליציה."
1994,0,"ציפייה, הבעת עניין",expectation," אולי תתחילו באכיפה של התקנות הקיימות על החברה החרדית?.
אנא הציגו נתונים, כמה אנשים אם בכלל נדבקו מאיסוף משלוחים, כמה מהשליח של הפיצה, כמה מהגלים בחוף הים? רוצים לסגור? להטיל מגבלות, אין בעיה אבל תציגו נתונים מוכחים. עובדות! לא חרדות."
1997,0,"ציפייה, הבעת עניין",expectation," התרופה הכי טובה למי שנדבק בבית כנסת זה מנטוס.
אי אפשר להיות רשע כל הזמן ופעם ביום לבוא לבית כנסת לטיהור הרוע במלמול חסר תכלית. מספיק לראות איך הם מקללים את חיילי צהל ששומרים עליהם כדי להבין שאם יש אלהים הוא מזמן היה מכה בהם."
2001,6,"סלידה, אי אמון",disgust," אם אין כסף ליצמן לא מתעניין .
אבל רק בתנאי שיעצרו להם את זכויות היותר שהם קיבלו בשיא הקורונה - מעקבים, ציתותים וכיו""ב."
2002,0,"ציפייה, הבעת עניין",expectation," הנחות?.
 נרשמתי לפני יותר מ4 שנים וזכיתי לפני יותר משנתיים אין עדיין היתר הכול תקוע .
"
2006,6,"סלידה, אי אמון",disgust," אין ספורט ואין תרבות. בשביל מה צריכים שרת תרבות ?.
נטפלתם למורות ולמורים ודוגמה אישית לא נמצא מחברי הכנסת ומראש הממשלה?"
2007,5,"עצב, צער",sadness," ישראל מדינה אכזרית בלי רחמים,טוחנים את האנשים כאן..
אמן הגלגל מסתובב בחיים כי ככה זה בחיים פעם למעלה פעם למטה ושאת למטה קשה לעלות למעלה "
2009,6,"סלידה, אי אמון",disgust," וכמה ליצמן וביבי בנו פה? אפס. אפסים. גנבים. חזירים.
הם כלאו 7 מיליון מוסלמי , בסין במחנה כמו בית סוהר מענים אותם אוסרים אותם חוטפים הנשים והילדים שלהם אז אלוהים סגר עליהם במחה בעיר שכוללת 57 מיליון אדם ...שתסבול סין וכל אחד שיש לו יד בהתעללות באדם אחר "
2011,6,"סלידה, אי אמון",disgust," שוב הטעיה ציבורית.
מעיין למה הערים והכפרים הערביים אין שום נתונים עליהם ...! מישהו דואג לאסוף נתונים ? מישהו דואג להיכנס לערים ולעזור באכיפה ..? לא. חד משמעית אין שום אכיפה, ניידת משטרה אחת אין. לפחות לא בטירה. גם לא פקחי עיריות.
מי אחראי...? "
2012,3,"חשש, פחד",fear," אם אני בבידוד לא הולכת להצביע!!.
במצב הנוכחי, אני מעדיפה לא ללכת להצביע. "
2013,7,"זעם, כעס",anger," בושה עולם 3 פה עוד מדינה תשנא אותנו.
לקוריאנים זיכרון ארוך. שנים לקח לשכנע אותם שהביקורים כאן בטוחים עבורם ותוך יומיים ניפצתם הכל. קוראנים ויפנים לא תיראו פה עוד הרבה שנים"
2014,3,"חשש, פחד",fear," אז אני מבינה מהמהלך המתגבש שילדי יבואו איתי לעבודה .
צריך קצת לחכות בגנים .לפחות שבועיים אחרי צאת החג שבו היו ויהיו חריגות בשמירה על החוקים של הריחוק החברתי ותהיה סכנת הדבקה."
2015,3,"חשש, פחד",fear," תשאירו אותם שם לא צריכים פה וירוס קורונה .
אל תחזירו אותםלא ערוכים כאן שישארו שם"
2017,6,"סלידה, אי אמון",disgust, א י ן  א כ י פ ה ב ר ח ו ב ו ת ו ב ע ס ק י ם!!!! 
2018,6,"סלידה, אי אמון",disgust," רעיון לא רע בכלל, ליצמן צריך לאמץ את זה בבני ברק "
2019,6,"סלידה, אי אמון",disgust," לא הבנתי, הבן אמר שהוא ידע שזה יגיע אבל לא לקח ההורה למקום א.
בישראל ישנם כ-730 מוסדות דיור מוגן לקשישים עם עשרות אלפי דיירים אשר ברובם המוחלט לא פשטה מגיפת הקורונה, אז למה לא כותבים לנו ""הישג למשרד הבריאות: נמנעה התפשטות הקורונה ב-725 בתי אבות״"
2020,6,"סלידה, אי אמון",disgust," לא מובן.
חבורה של ליצנים! מה ההבדל בינכם לבין עובדי בנק? עובדי משרדי ענק או עובדי לא משנה מהכולם באים במגע עם אנשים וכולם סגורים קצת יותר זמן מכם  (שעובדים עד אחת ) עם עובדים אחריםאז באו נטיל סגר כולל וזהו"
2021,6,"סלידה, אי אמון",disgust," וירוס ההתחרדות מסוכן יותר מוירוס הקורנה. באחריות.
אוסף של לא מועלים רק שואבים כסף ומביאים מחלות"
2023,5,"עצב, צער",sadness, כל אחד שחושב שצעירים לא יכולים להיפגע טועה.. 
2024,6,"סלידה, אי אמון",disgust," ידע שזה פייק ובכל זאת אמר - אלוהים אדירים איזה טיפוס ?.
יוון יותר בטוחה מישראל. תסתכלו על המספרים שלהם"
2026,3,"חשש, פחד",fear," מי שמטפל באוכלוסיות הסיכון ייחשף למחלה..
בני בית שמתחלקים ל-2 הקבוצות סיכון ? האם 2 קבוצות מספיקות ? כיצד מתבצע שחרור מבוקר של האוכלוסיה מקבוצת הסיכון הנמוך ? איך מבטיחים הדבקה מהירה של כל קבוצת הסיכון הנמוך ?זאת ועוד.."
2027,6,"סלידה, אי אמון",disgust," מדינת ישראל נחטפה ע""י חונטה שמשרתת את עצמה.
מערכת המשפט הקלוקלת נתנה לזה יד והכניסה בחסות השמאל תומכי טרור נגד חיילי צהל.
תתביישי לך ולשכמותך הרסתם את המדינה "
2029,6,"סלידה, אי אמון",disgust," אחרי שהרס את מערכת הבריאות הוא יהרוס את משרד השיכון.
ליצמן, אתה איש רע ואדם קטנוני. אני מתעב הרבה פוליטיקאים ובראשם נתניהו המושחת, אבל חייב לומר שאתה, ליצמן, שאתה לא רק מושית ורקוב אלא באמת איש רע. יום יבוא ונבוא אתך חשבון. "
2031,6,"סלידה, אי אמון",disgust," מישהו שלח אתכם לשם?.
למה חיכיתם? שיהיה מאוחר מידי להטיס אתכם,או שאמרתם לעצמכם פה זה לא יקרה ובטח לא לנו? חבר'ה כשאומרים לכם משהו תדעו שזה מאוד רציני,ותהיו גם אתם רצינים ואחראים למעשים שלכם."
2033,6,"סלידה, אי אמון",disgust," לכו להתפלל, נמאסתם.
ועל כן אנטי חרדים לא יכול להיחשב כגזענות?
נכון, הם עכברושים מפיצי מחלות, אבל הם לא גזע !"
2035,7,"זעם, כעס",anger," אנשים חצופים! אז חזרתם מחול ו... אשמתכם שטסתם לחול!.
הארוחות האלה מוגשות גם בצה""ל.
מה הם חושבים שהגיעו ל 5 כוכבים ? בושה !!! החיילים לא ישנים בלילה בגללם כדי לדאוג להם ."
2036,6,"סלידה, אי אמון",disgust," עוד ליצן עם דעה .
כדורגל הוא ספורט של עלובי נפש. התנהגות הכדורגלנים הישראליים היא בלתי ספורטיבית, ורוב אוהדי הכדורגל מגיעים למגרשים בעיקר כדי ללכת מכות (ע***ם מגעילים כבר אמרנו?)עדיף שהכספים הרבים של המימון הממשלתי יושקעו בסוגי ספורט שישראל ושטובים לחינוך כמו ג'ודו או שייט/גלישת רוח."
2038,5,"עצב, צער",sadness," עצוב :,( יהי זכרו ברוך..
בזמן שיש במדינה אנשין שעושים ימים כלילותומסכנים את עצמם ואת קרוביהם במלחמה נגד המגיפה ועזרה לזולת, יש לאטומי הנפש האלה מחברת הביטוח חוצפה להעלל באנשים האלה ובני משפחתם.פשוט עלובים !"
2040,6,"סלידה, אי אמון",disgust," לא נורא. העיקר שלביבי יש מטוס פרטי מהכסף של מכונות ההנשמה.
ביבי עדיין יודע לנהל משברים"
2042,3,"חשש, פחד",fear," הלך עלינו כי לא מוכנים לדירוש בידוד לחוזרים מארה""ב "
2043,0,"ציפייה, הבעת עניין",expectation," מרגש. המון מזל טוב, בריאות ושמחה.
הצוות גם ככה נחשף. לידה היא תהליך של מגע קרוב מאוד. לא ברור בכלל שמסיכה תעזור. היה יותר הגיוני שיוותרו על המסיכות מאשר לחשוף אדם נוסף ולחשוף את היולדת לאדם נוסף. "
2045,7,"זעם, כעס",anger," בדרך כלל צעירים לומדים והמורה מבוגר.
מותר לפתוח את החנויות, אבל לקונים אסור להתרחק מהבית יותר מאשר 100 מ'.אז אם אין קונים, בשביל מה לפתוח חנויות?"
2046,2,הבעת אמון,trust," כולם לסמוך על גאנץ  . חייבים לבצע אלפי בדיקות ביום ובכל ימות השבוע לאיתור ובידוד נושאי נגיף. להימנע למשך מספר שבועות מנסיעה בתחבורה ציבורית המונית, בילוי במרכזי קניות, ספורט. כשהטמפרטורות והלחות יעלו משמעותית יתכן שקצב ההתפשטות יבלם."
2047,6,"סלידה, אי אמון",disgust," הם מפטרים את ה.
משפחה יקרה הרשת פשוט כושלת שירות רעעעע, מחירים מוגזמים,תנאי תשלום לספקים גרועים,רשת שמתאימה לשנות השישים,וכן ממשפחת פישמן,הגיע הזמן שתחזירו הרבה כספים שסלקחתם מהבנקים,ועוד עדיף שתיסגרו כבר,אבל תשלמו בבקשה. לספקים ונותני השירות,"
2048,3,"חשש, פחד",fear," שלא תדעו צער משתתף בצערכם.מאד צעירה.......
תנחומיי למשפחתה"
2051,2,הבעת אמון,trust, הרופא שלי אמר שנגיף הקורונה...זה לא ממש מצחיק. אז לא לזלזל 
2052,3,"חשש, פחד",fear," אף לא חצי יום בחופשה. נקודה..
עבדים היינו בארץ הרעה הזו. מספיק."
2055,6,"סלידה, אי אמון",disgust, איך לא הלכתי להיות מורה??!! 
2056,7,"זעם, כעס",anger," ראוי שיוחלף.
בינתיים הוא רק מנחית על החילונים עוד ועוד מכות ונותן לחבריו החרדים לעשות מה שבראש שלהם, פעם ראשונה הוא יצא נגד מה שקורא בבני ברק קרתה רק לאחר שכחול לבן ביקשו את משרד הבריאות במקום משרד החוץ והוא הבין שיכול להיות שמעמד שלו מתערער"
2057,3,"חשש, פחד",fear," שוטרים וחיילים ידביקו אזרחים ולהיפך.
מה עם האנשים הפשוטים שחיים בשכירות או במשכנתא מהיד לכיס. יגמר המזומן והאשראי אם יש עוד. כדאי שיעזרו למשר מלמטה ועד למעלה או שיהיה כל של מהומות מזון ופשע "
2059,7,"זעם, כעס",anger," עובדים בשירות המדינה נקראו להגיע לעבודה ! .
היה צריך סגר מלא כבר מיום ראשוןלא להסתכל על מיליארדים והאוצרזה המוצא היחידי והמהיר ביותראולי כבר פיספסנו את המועדאבל טובה שעה אחת קודם"
2060,6,"סלידה, אי אמון",disgust," מדינה מפחדת.
למה גדר מערכת בצפון עדיין משנות ה 80?? רמטכל שמתפקד כמו קצין צעיר באגף מבצעים. תתעוררו. "
2062,1,"שמחה, התלהבות",happy," thank you . כל הכבוד 
מה שאתם עושים מבורך וחשוב בזכות בחורים כמוכם המדינה שלנו תמשיך לצמוח ולשגשג ונעבור גם את המשבר הזה 
חג שמח "
2064,6,"סלידה, אי אמון",disgust," אני חוששת.
הם לא מספרים כמה בדיקות הם עושים ליום. אולי יש פחות מ 100 חולים חדשים מתוך 200  או 1000 בדיקות (שזה 50% או 20% בהתאמה).מספרים לנו שקרים שקרים שקרים !!!!"
2066,5,"עצב, צער",sadness," מושחתים, תקימו ממשלה ותפסיקו עם הסגר המטופש כבר.
שני מנכלים רבים על  פרסטיז'ה,שי מול משה, ואנו אוכלים תחת.מדינת חלם אנחנו,אוי ואבוי אם  תתרחש כאן רעידת אדמה -הלכה עלינוקרב הגנרלים ממלחמת יום כיפור קטן לעומת מה שמתחולל כעת:שי נגד משהמשה נגד שיביבי נגד נפתלינפתלי נגד כל העולםומי סובל?סחבק הקטן"
